DBA,BORO,BUILDING,STREET,ZIPCODE,Latitude,Longitude
'ESSEN,Manhattan,699,AVENUE OF AMERICAS,10010.0,40.742491991547,-73.993114470699
PIZZA & BAGEL ON 3RD,Brooklyn,663,3 AVENUE,11232.0,40.664699865409005,-73.996896488441
GREEN CAFE,Manhattan,36,EAST   58 STREET,10022.0,40.762827353403004,-73.97158307108499
BREAD & BUTTER,Manhattan,419,PARK AVENUE SOUTH,10016.0,40.743792060616,-73.983720528685
BREAD & BUTTER,Manhattan,14,EAST   44 STREET,10017.0,40.754460220511,-73.979220575447
ST NICHOLAS FOOD & CAFE,Manhattan,285,SAINT NICHOLAS AVENUE,10027.0,40.810442626567,-73.952832022027
L & M ITALIAN DELI & CATERING,Queens,3608,31 STREET,11106.0,40.756244076777,-73.93002952696999
FRAME,Manhattan,552,7 AVENUE,10018.0,40.754508142782996,-73.988070862027
SUNSET DELI,Brooklyn,4301,4 AVENUE,11232.0,40.650294985904004,-74.008576953077
33 GOURMET,Manhattan,157,WEST   33 STREET,10001.0,40.749784577872,-73.98981132846
