street_name,odd_on,avg_direction,building_num_range,start_end_coordinates,segment_length,segment_direction,building_num_range_length,avg_length_per_building,direction_deviation,road_type,offset_from_road_center
W 117th Street,right,119.41186450042863,"[300, 507]","[[40.806337, -73.957801], [40.805712, -73.95632]]",142.94908711407336,119.04684683655927,208,0.6872552265099681,0.3650176638693665,Street,5
W 117th Street,right,119.41186450042863,"[508, 699]","[[40.805712, -73.95632], [40.80512, -73.95496]]",132.25641092784002,119.80639313964227,192,0.6888354735825001,-0.39452863921363246,Street,5
W 118th Street,right,118.77437912237939,"[1, 95]","[[40.80456, -73.951664], [40.803328, -73.948768]]",280.0672374182826,119.24130390573274,95,2.9480761833503433,-0.4669247833533632,Street,5
W 118th Street,right,118.77437912237939,"[96, 199]","[[40.803328, -73.948768], [40.802016, -73.945568]]",306.8324596813453,118.34818453302039,104,2.950312112320628,0.42619458935899956,Street,5
W 118th Street,right,118.95670329512703,"[200, 257]","[[40.805744, -73.95448], [40.805072, -73.952848]]",156.6317188092889,118.452651308733,58,2.7005468760222224,0.5040519863940176,Street,5
W 118th Street,right,118.95670329512703,"[258, 299]","[[40.805072, -73.952848], [40.80456, -73.951664]]",114.95508572187465,119.6434978680018,42,2.737025850520825,-0.68679457287476,Street,5
W 118th Street,right,119.10830309787511,"[300, 502]","[[40.806976, -73.957392], [40.806352, -73.95592]]",142.2304805896886,119.15651516287727,203,0.7006427615255596,-0.04821206500216135,Street,5
W 118th Street,right,119.10830309787511,"[503, 699]","[[40.806352, -73.95592], [40.805744, -73.95448]]",139.00796096956572,119.05897336792543,197,0.7056241673582015,0.04932972994967599,Street,5
W 119th Street,right,119.20609415536923,"[1, 95]","[[40.805216, -73.951168], [40.804016, -73.948288]]",277.1618151201301,118.73690225799517,95,2.9174927907382115,0.46919189737405986,Street,5
W 119th Street,right,119.20609415536923,"[96, 199]","[[40.804016, -73.948288], [40.80264, -73.945104]]",309.0936777888024,119.62681475647025,104,2.9720545941231,-0.4207206011010385,Street,5
W 119th Street,right,118.2224994246095,"[200, 239]","[[40.806384, -73.954032], [40.805904, -73.952912]]",108.502946242185,119.42362363303364,40,2.712573656054625,-1.2011242084241474,Street,5
W 119th Street,right,118.2224994246095,"[240, 299]","[[40.805904, -73.952912], [40.805216, -73.951168]]",165.81324536061123,117.43652171134903,60,2.7635540893435206,0.785977713260479,Street,5
W 119th Street,right,119.28968916341593,"[300, 501]","[[40.807632, -73.95696], [40.807024, -73.955472]]",142.55985446604205,118.26873731515298,202,0.7057418537922874,1.0209518482629392,Street,5
W 119th Street,right,119.28968916341593,"[502, 699]","[[40.807024, -73.955472], [40.806384, -73.954032]]",140.76725424701996,120.3236423202331,198,0.7109457285203028,-1.0339531568171765,Street,5
W 11th Street,right,118.1722859056659,"[1, 50]","[[40.734576, -73.995056], [40.733872, -73.993328]]",165.5853778254345,118.17228590566589,50,3.31170755650869,0.0,Street,5
W 11th Street,right,119.31444711710154,"[51, 135]","[[40.735936, -73.99824], [40.734576, -73.995056]]",308.45744501809946,119.31444711710155,85,3.6289111178599938,0.0,Street,5
W 11th Street,right,118.62763602790511,"[136, 158]","[[40.737072, -74.000976], [40.736672, -74.000024]]",91.86711878174641,118.91519948928831,23,3.994222555728105,-0.28756346138320055,Street,5
