DBA,BORO,BUILDING,STREET,ZIPCODE,Latitude,Longitude
FAILTE,Manhattan,531,2 AVENUE,10016.0,40.741946612866,-73.977932564941
BLAGGARD'S PUB,Manhattan,8,WEST   38 STREET,10018.0,40.751208353675,-73.983354175874
MURPHY'S PUB & RESTAURANT,Manhattan,977,2 AVENUE,10022.0,40.755936997394,-73.96775634303701
MC GUINNESS'S,Queens,44-23,QUEENS BOULEVARD,11104.0,40.743342818979,-73.920270455954
KEG AND LANTERN TAVERN,Brooklyn,97,NASSAU AVENUE,11222.0,40.723956984924996,-73.950234549976
KEANE'S BAR & RESTAURANT,Bronx,4342,KATONAH AVENUE,10470.0,40.900062984423,-73.867640883899
FOLEY'S N.Y. PUB AND RESTAURANT,Manhattan,18,WEST   33 STREET,10001.0,40.748112604262,-73.985899349317
SOCCER TAVERN,Brooklyn,6004,8 AVENUE,11220.0,40.635387991295,-74.009673930616
BANTRY BAY PUBLICK HOUSE,Queens,3301,GREENPOINT AVENUE,11101.0,40.735671954808005,-73.934464284313
BAILEY'S CORNER PUB,Manhattan,1607,YORK AVENUE,10028.0,40.775079806713,-73.947751861125
BUKOWSKI'S,Queens,6947,GRAND AVE,11378.0,40.726726697581,-73.893999550217
TRIONA'S BAR RESTAURANT,Manhattan,192,3 AVENUE,10003.0,40.735387854614004,-73.985663899313
SWIFT HIBERNIAN LOUNGE,Manhattan,34,EAST    4 STREET,10003.0,40.727467103523004,-73.992354751418
CARRAGHER'S,Manhattan,228,WEST   39 STREET,10018.0,40.754535714755995,-73.989334155118
MAJORELLE,Manhattan,28,EAST   63 STREET,10065.0,40.765969522515,-73.969336277115
DORRIAN'S RED HAND RESTAURANT,Manhattan,1616,2 AVENUE,10028.0,40.776404966262,-73.952802065662
SCALLYWAG'S IRISH PUB & REST,Manhattan,508,9 AVENUE,10018.0,40.756122539791,-73.994296975335
PETER MCMANUS CAFE,Manhattan,152,7 AVENUE,10011.0,40.741773039676,-73.997347584272
KEANE'S BAR & RESTAURANT,Bronx,4342,KATONAH AVENUE,10470.0,40.900062984423,-73.867640883899
GINGER'S BAR,Brooklyn,363,5 AVENUE,11215.0,40.671407085186,-73.984426802011
THE TAP HOUSE,Queens,7207,AUSTIN STREET,11375.0,40.719220740482996,-73.84232677800101
MCGETTIGANS,Manhattan,70,WEST   36 STREET,10018.0,40.750736616924,-73.986072034139
GILBEY'S,Queens,32-01,BROADWAY,11106.0,40.76154342233,-73.92446122826
CORNERSTONE TAVERN/THE STAG'S HEAD,Manhattan,961,2 AVENUE,10022.0,40.755407367711,-73.968146423221
THE LARK'S NEST,Bronx,4280,KATONAH AVENUE,10470.0,40.897976551901,-73.867254392087
